,INDEX,TARGET,FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,pH,Sulphates,Alcohol,LabelAppeal,AcidIndex,STARS
3746,4719,3,7.9,1.09,0.23,66.6,0.077,18.0,45.0,1.02678,3.29,0.54,9.3,0,8,
3747,4720,0,11.3,0.18,1.24,1.6,0.047,22.0,84.0,1.03817,4.22,,10.7,0,8,
3748,4721,4,6.6,0.33,0.32,85.5,0.054000000000000006,62.0,95.0,0.99734,3.25,1.95,10.4,1,7,2.0
3749,4723,0,6.1,0.55,0.58,48.2,0.044000000000000004,54.0,761.0,1.04318,3.15,0.51,3.7,-1,7,
3750,4724,4,1.7,0.32,0.45,7.7,0.157,75.0,692.0,0.99134,3.2,2.33,26.0,-1,7,2.0
3751,4725,3,7.0,0.14,0.3,1.3,0.182,95.0,91.0,0.9926799999999999,2.64,,,-1,8,1.0
3752,4726,4,2.2,0.27,0.46,17.55,0.052000000000000005,45.0,487.0,1.0312299999999999,,0.52,8.9,1,8,2.0
3753,4728,4,6.1,0.27,0.68,21.5,0.034,127.0,260.0,0.9617700000000001,3.36,1.67,19.0,0,7,2.0
3754,4729,4,7.7,0.61,0.94,7.7,0.096,28.0,635.0,1.02389,3.56,0.72,9.2,1,7,2.0
3755,4730,5,6.5,1.13,0.4,30.1,0.038,38.0,218.0,0.99364,3.16,0.33,10.1,1,7,
3756,4731,3,6.0,0.39,0.77,1.2,0.042,220.0,172.0,1.0206899999999999,4.23,,16.7,0,7,2.0
3757,4732,4,1.5,0.31,1.19,,0.033,194.0,74.0,0.99064,4.0,0.65,12.5,0,7,2.0
3758,4733,0,8.3,1.71,1.1,57.2,0.6459999999999999,61.0,119.0,1.0233,4.35,1.2,,0,7,
3759,4734,2,7.2,0.85,0.48,57.2,0.083,37.0,27.0,0.9951,2.66,0.38,9.3,-1,7,1.0
3760,4735,3,6.3,0.23,0.49,71.3,0.05,67.0,210.0,0.9509200000000001,2.24,0.16,21.8,0,7,2.0
3761,4736,3,6.2,0.3,0.47,43.8,0.008,42.0,170.0,1.0419399999999999,3.62,1.95,10.6,-1,7,1.0
3762,4737,3,12.9,0.45,0.0,26.5,0.102,206.0,511.0,0.9937,3.35,0.62,9.9,0,5,2.0
3763,4738,0,6.4,1.5,0.53,25.9,0.081,214.0,31.0,1.03467,3.59,0.82,5.6,1,7,
3764,4739,3,6.6,0.31,1.81,1.4,0.035,234.0,7.0,0.98836,3.0,0.4,11.3,-1,7,1.0
3765,4740,0,4.2,0.235,0.02,15.1,0.175,68.0,16.0,0.8983700000000001,4.01,0.86,10.5,2,7,
3766,4741,4,0.3,1.05,0.46,63.4,0.285,39.0,567.0,1.0011299999999999,3.73,0.7,9.6,0,9,3.0
3767,4742,4,6.3,0.24,1.47,,0.23,78.0,108.0,0.96975,4.21,0.39,9.9,0,7,2.0
3768,4743,0,6.8,0.815,2.58,3.8,0.301,27.0,401.0,0.9961399999999999,3.32,1.09,3.4,-1,8,
3769,4744,7,8.1,0.17,0.44,14.1,0.053,43.0,62.0,1.01715,4.16,0.75,8.8,1,9,4.0
3770,4745,3,11.8,0.26,3.52,38.8,0.028999999999999998,52.5,307.0,0.9976,3.03,2.01,10.2,-2,9,
3771,4746,0,13.7,0.53,0.6,13.8,0.175,74.0,,0.99585,4.2,0.86,12.4,-2,11,
3772,4747,5,5.7,0.59,1.25,6.0,0.36,11.0,,1.02772,4.42,0.63,3.5,0,7,3.0
3773,4748,2,11.5,0.81,0.3,1.4,0.042,26.0,22.0,0.9954,3.15,0.46,9.1,-1,10,1.0
3774,4749,4,18.4,0.21,0.31,,0.039,46.0,403.0,0.9505299999999999,4.72,,10.6,-1,7,
3775,4750,4,6.6,0.23,1.83,70.75,0.45,198.0,144.0,0.97801,3.33,0.54,10.2,0,7,2.0
3776,4751,5,12.3,0.22,1.15,1.2,0.024,29.0,,0.9882299999999999,4.45,0.46,13.05,0,6,2.0
3777,4752,4,2.2,2.65,1.76,22.9,0.281,32.0,420.0,1.0126700000000002,3.08,0.39,10.5,0,9,1.0
3778,4753,3,1.2,0.23,0.34,9.3,0.546,186.0,86.0,0.99574,3.55,,7.9,0,8,2.0
3779,4754,5,6.5,0.41,0.33,57.5,0.03,54.0,158.0,0.9765,3.18,2.04,13.8,0,6,4.0
3780,4755,4,6.8,1.31,0.05,1.6,0.588,264.0,173.0,1.0167,2.52,0.17,2.2,0,8,3.0
3781,4757,3,2.4,0.29,1.24,13.2,0.046,26.0,787.0,1.0132700000000001,2.55,0.37,9.7,-1,9,1.0
3782,4758,4,2.4,0.28,0.26,14.3,0.5539999999999999,44.0,,0.97957,3.32,1.93,13.0,0,7,1.0
3783,4759,3,16.2,0.25,1.28,1.4,0.405,13.0,546.0,0.9935,3.11,1.38,9.5,0,7,
3784,4760,0,2.1,0.51,0.37,9.7,0.036000000000000004,15.0,74.0,0.9885299999999999,3.09,0.49,12.7,0,6,1.0
3785,4761,4,18.0,1.22,0.54,39.1,0.157,211.0,233.0,0.99449,3.11,2.1,10.1,0,8,2.0
3786,4764,0,7.4,0.28,0.07,4.0,0.1,,225.0,1.03376,2.77,0.79,5.4,-2,8,
3787,4765,4,8.3,0.3,0.74,1.85,0.051,33.0,530.0,1.03948,3.25,2.93,,0,9,2.0
3788,4767,5,18.7,0.58,0.54,24.6,0.043,,248.0,0.99206,3.21,,8.7,1,9,3.0
3789,4768,3,0.5,0.62,1.53,29.9,0.083,151.0,248.0,1.0431,2.54,0.17,9.4,0,8,1.0
3790,4769,4,3.6,0.51,0.36,8.2,0.552,40.0,44.0,0.9975,2.15,0.76,11.0,0,8,2.0
3791,4771,3,22.1,1.385,0.26,31.3,0.21,40.0,102.0,0.9909399999999999,3.68,1.17,10.6,-1,6,2.0
3792,4772,5,7.0,0.68,2.81,40.4,0.027000000000000003,309.0,122.0,0.9922799999999999,2.45,1.51,12.5,-1,7,3.0
3793,4773,2,7.4,1.36,0.14,51.5,0.135,204.0,113.0,1.06987,4.63,1.17,5.2,-1,8,2.0
3794,4774,3,2.15,0.61,1.29,9.6,0.11900000000000001,282.0,286.0,1.0274299999999998,3.15,0.44,10.9,-1,8,1.0
3795,4775,5,16.7,0.44,0.44,12.6,0.048,29.0,228.0,0.99955,1.77,0.54,11.6,0,7,3.0
3796,4776,5,0.6,0.995,1.12,60.35,0.537,99.0,166.0,0.9890000000000001,2.34,,12.8,0,7,4.0
3797,4777,6,2.6,0.29,0.71,43.8,0.084,23.0,293.0,0.9876799999999999,3.04,0.68,5.5,1,14,3.0
3798,4778,3,12.9,0.01,0.28,2.2,0.042,170.0,64.0,0.99166,2.45,2.1,17.8,0,8,2.0
3799,4779,3,9.4,1.91,0.06,18.2,,30.0,75.0,1.01996,3.32,,13.8,0,6,2.0
3800,4780,5,6.4,0.58,0.26,5.6,0.044000000000000004,308.0,160.0,0.9949,3.6,0.47,10.6,1,7,1.0
3801,4781,4,7.8,1.05,0.08,54.5,0.221,78.0,186.0,0.91885,3.14,1.76,10.6,0,8,1.0
3802,4782,5,5.2,0.23,0.3,14.9,0.624,220.0,160.0,0.99835,0.48,0.54,9.0,1,7,2.0
3803,4783,3,6.2,0.3,0.21,1.1,0.032,31.0,111.0,1.0265799999999998,3.78,0.42,12.2,-1,7,1.0
3804,4785,4,8.6,0.08,0.46,33.5,0.226,269.0,331.0,0.9941,4.19,0.49,,0,9,1.0
3805,4786,5,8.2,0.49,0.4,59.5,0.027000000000000003,133.0,121.0,0.94855,3.12,0.58,11.3,1,9,1.0
3806,4787,0,5.0,0.22,0.42,14.6,0.308,,191.0,1.0003,2.22,0.16,8.6,-1,9,1.0
3807,4788,4,7.7,0.43,0.37,9.9,0.16899999999999998,261.0,210.0,0.94758,3.48,0.24,5.1,1,9,2.0
3808,4789,2,6.3,0.67,0.3,8.7,0.049,263.0,516.0,1.01356,,0.39,8.9,-1,7,1.0
3809,4790,3,7.2,1.14,0.26,138.0,,279.0,134.0,0.9986,3.41,0.81,15.2,-1,8,
3810,4792,6,6.0,1.28,0.32,7.4,0.552,115.0,159.0,1.0089299999999999,3.19,0.5,11.7,2,7,3.0
3811,4793,5,6.0,0.33,0.2,,0.364,49.0,159.0,1.01359,3.41,0.26,4.6,1,7,
3812,4794,5,6.6,1.2,0.19,19.0,0.031,212.0,166.0,0.98036,4.06,0.43,12.7,0,7,2.0
3813,4796,0,10.5,0.89,0.95,4.1,0.581,24.0,356.0,1.0052299999999998,3.21,0.69,13.8,0,11,
3814,4797,4,7.0,1.63,1.27,6.5,0.037000000000000005,11.0,346.0,0.9891399999999999,1.8,0.97,12.5,0,8,2.0
3815,4798,0,2.7,0.225,0.54,11.3,0.677,14.0,104.0,0.9918,3.16,0.4,12.1,-1,7,1.0
3816,4800,5,14.7,0.77,0.49,41.3,0.035,118.0,47.0,0.99666,2.75,0.36,15.4,1,7,2.0
3817,4801,0,0.7,0.35,0.33,33.4,0.068,9.0,36.0,0.9947,3.36,2.23,12.7,-1,8,
3818,4803,0,5.6,1.76,0.86,,0.039,202.0,116.0,0.94342,4.29,0.9,15.5,1,6,
3819,4804,5,3.5,0.17,0.3,22.7,0.56,13.0,120.0,0.99095,3.02,1.26,,1,7,4.0
3820,4806,4,1.9,0.73,0.51,10.0,0.377,156.0,254.0,0.997,3.4,1.07,15.3,0,8,2.0
3821,4807,5,5.1,0.77,0.48,53.9,0.32799999999999996,132.0,136.0,0.9931,3.17,1.03,20.3,1,8,3.0
3822,4808,5,6.45,1.3,0.28,1.2,0.05,163.0,129.0,1.02732,2.74,0.69,11.1,0,7,4.0
3823,4809,3,5.6,0.34,0.1,56.9,0.268,108.0,68.0,0.99956,3.36,1.06,6.2,-2,6,
3824,4810,4,6.6,0.26,2.68,69.2,0.047,168.0,28.0,1.03104,4.17,0.56,9.9,0,7,
3825,4811,4,13.8,0.28,0.29,19.3,0.051,36.0,161.0,0.99911,3.22,0.5,9.0,1,7,3.0
3826,4812,4,9.9,0.22,1.72,10.3,0.059000000000000004,242.0,642.0,0.9456,3.12,0.84,10.0,0,8,2.0
3827,4813,5,12.0,0.3,0.75,2.8,0.025,37.0,123.0,0.99159,3.31,0.63,16.1,0,7,3.0
3828,4815,5,11.0,0.27,0.61,1.6,0.22,,128.0,0.97245,2.3,0.5,5.9,1,9,1.0
3829,4818,4,5.1,0.2,2.76,6.4,0.655,103.0,170.0,1.02486,2.37,0.82,,0,9,4.0
3830,4819,4,6.6,0.28,1.68,53.2,0.419,182.0,68.0,0.98726,2.93,1.19,15.1,0,7,3.0
3831,4820,0,13.4,0.4,0.83,15.5,0.043,205.0,152.0,0.99129,2.91,,,-1,8,1.0
3832,4821,5,4.3,0.88,1.68,1.4,0.046,22.0,90.0,1.00434,2.61,0.51,11.7,0,7,2.0
3833,4823,3,6.4,0.42,0.46,8.4,,58.0,180.0,0.99495,3.18,0.69,9.7,-1,7,2.0
3834,4824,6,14.9,0.94,0.52,,,22.0,139.0,0.9453600000000001,3.04,0.62,7.1333333333,2,8,2.0
3835,4825,0,14.1,0.26,0.72,8.2,0.441,88.0,,0.9873200000000001,2.75,2.2,,0,8,
3836,4826,3,3.1,0.2,2.32,1.9,0.015,20.0,38.0,1.00033,3.37,2.23,12.05,-1,6,2.0
3837,4828,5,6.4,0.16,0.25,1.3,0.408,202.0,77.0,1.0428899999999999,3.61,0.43,10.2,1,7,3.0
3838,4829,5,1.8,0.24,0.47,61.9,0.043,230.0,57.0,0.9552799999999999,3.19,0.45,14.7,1,8,3.0
3839,4830,3,14.5,1.93,1.25,11.2,0.17300000000000001,,551.0,0.9532799999999999,3.06,0.39,8.9,-1,9,1.0
3840,4831,4,4.2,0.33,3.0,24.2,0.285,37.0,221.0,1.0291,3.25,0.54,10.4,0,7,4.0
3841,4832,3,7.7,0.38,0.49,53.7,0.038,183.0,171.0,0.9906,3.18,0.32,12.9,-1,8,
3842,4834,0,0.4,0.23,0.36,63.7,0.45399999999999996,321.0,504.0,0.99192,4.1,2.28,5.6,1,7,
3843,4835,5,9.3,0.17,0.05,9.9,0.03,32.0,123.0,1.01899,2.28,0.33,13.7,0,6,2.0
3844,4837,0,28.3,0.56,0.19,2.1,0.507,64.0,105.0,0.9962,3.33,0.74,13.5,-1,9,
3845,4838,5,4.5,0.38,0.9,1.1,0.065,38.0,,0.9927,3.61,,9.9,0,6,3.0
3846,4839,5,13.6,0.09,0.1,62.2,0.23399999999999999,148.0,161.0,0.99256,3.16,0.31,10.5,1,7,3.0
3847,4840,3,1.8,1.55,0.47,2.2,0.6890000000000001,14.0,134.0,1.00708,3.49,0.5,9.1,0,7,1.0
3848,4841,2,6.3,0.33,0.2,51.1,0.15,350.0,488.0,0.9991,,0.1,6.4,-1,7,1.0
3849,4843,0,8.1,0.2,0.31,1.6,0.038,515.0,111.0,0.9912,3.25,0.39,12.0,0,8,
3850,4846,0,6.3,0.39,1.33,1.4,0.581,11.0,305.0,1.03449,3.81,3.92,9.3,0,7,
3851,4847,4,4.6,0.63,0.24,14.0,0.07400000000000001,37.0,266.0,0.94832,3.44,0.53,9.8,0,7,2.0
3852,4848,4,3.1,0.25,0.53,1.8,0.021,21.0,252.0,0.9893149999999999,3.03,3.2,18.0,0,7,2.0
3853,4851,4,13.7,0.5,0.46,19.3,0.086,164.0,73.0,0.997,0.87,0.57,7.8,1,8,2.0
3854,4852,3,6.1,0.6,0.32,11.6,0.29600000000000004,243.0,145.0,1.07375,3.05,0.54,9.8,-1,8,2.0
3855,4853,0,7.5,0.52,1.17,17.2,0.085,184.0,35.0,1.0186,3.38,1.68,9.5,0,8,
3856,4854,2,1.2,1.57,0.2,11.1,0.066,,449.0,0.99298,2.18,0.9,,-1,7,
3857,4855,3,2.5,0.37,1.54,1.4,0.833,27.0,126.0,1.0095399999999999,4.1,1.6,18.8,0,8,1.0
3858,4856,0,16.2,0.35,1.12,12.6,0.039,19.0,205.0,0.9770399999999999,3.2,0.32,,-1,7,1.0
3859,4857,4,6.7,0.03,0.79,11.75,0.335,21.0,198.0,0.98646,3.26,0.55,9.5,1,7,2.0
3860,4858,5,7.7,0.26,1.96,2.6,0.045,300.0,1016.0,1.0266600000000001,3.32,0.5,7.1,1,8,
3861,4859,0,12.0,0.5,0.59,39.8,,94.0,395.0,0.9710799999999999,2.83,1.42,6.3,-1,13,2.0
3862,4861,3,1.1,0.64,1.57,59.9,0.086,89.0,168.0,0.94115,4.75,0.44,9.6,0,7,3.0
3863,4862,3,5.7,1.06,1.72,0.8,0.488,169.0,89.0,1.03983,3.19,0.91,8.2,-1,7,2.0
3864,4864,2,6.8,1.17,0.53,50.5,0.037000000000000005,262.0,151.0,0.9393299999999999,2.5,0.4,5.1,-1,8,
3865,4865,3,6.6,0.02,0.61,12.8,0.055999999999999994,44.0,169.0,0.998,3.42,0.96,6.0,-1,7,1.0
3866,4866,5,6.5,1.52,0.28,1.1,0.034,194.0,323.0,0.95944,4.47,1.35,14.1,1,7,3.0
3867,4867,4,7.0,1.15,3.28,25.5,0.051,39.0,149.0,0.99455,2.96,0.39,9.0,-1,7,4.0
3868,4868,0,17.0,0.91,1.6,1.8,,62.0,268.0,1.0326600000000001,2.24,0.52,9.2,-1,8,
3869,4869,5,5.8,0.32,0.38,4.75,0.033,207.0,338.0,0.991,3.42,,11.8,0,7,4.0
3870,4870,0,3.8,3.02,0.69,39.5,,4.0,10.0,0.99554,2.0,1.74,8.6,-1,10,
3871,4872,4,0.1,0.16,0.6,1.4,0.064,34.0,231.0,0.99825,3.11,0.42,11.433333333,0,8,3.0
3872,4873,4,2.5,1.19,0.3,3.0,0.607,24.0,67.0,0.9736899999999999,3.03,0.57,11.7,0,6,1.0
3873,4874,4,5.7,0.27,0.16,9.0,0.053,32.0,226.0,1.0359200000000002,2.16,0.31,13.2,0,6,2.0
3874,4875,0,18.4,0.48,0.9,49.2,0.354,19.0,279.0,0.9953,3.34,1.35,15.8,0,8,1.0
3875,4876,5,0.7,0.22,0.65,1.6,0.349,24.0,102.0,1.0295100000000001,3.29,2.34,11.6,0,7,3.0
3876,4877,5,8.4,1.24,0.76,11.8,0.192,68.0,86.0,1.0004,3.39,0.82,8.9,1,9,2.0
3877,4879,0,13.0,0.17,1.19,16.2,0.040999999999999995,34.0,714.0,1.00634,4.07,0.69,10.5,0,7,
3878,4880,4,19.8,0.21,0.49,15.4,0.046,71.0,119.0,0.96798,3.18,0.24,9.5,1,11,2.0
3879,4882,2,5.8,1.55,1.36,1.1,0.048,21.0,98.0,1.03016,3.19,,9.2,-1,6,
3880,4883,3,16.7,0.34,0.33,51.9,0.036000000000000004,64.0,327.0,0.9966,2.37,0.4,10.2,0,9,
3881,4884,3,9.5,0.25,0.49,1.35,0.023,156.0,48.0,0.9437,3.15,0.01,10.2,0,9,
3882,4885,3,4.9,0.28,0.6,51.0,0.261,236.0,127.0,0.9934,3.09,1.13,8.2,-1,8,2.0
3883,4886,3,7.9,0.89,1.16,8.5,0.55,75.0,325.0,0.9447700000000001,1.31,,11.7,-1,8,3.0
3884,4887,3,6.6,0.21,0.28,42.8,0.07,45.0,185.0,0.9966,4.42,0.86,9.4,0,7,2.0
3885,4889,0,7.2,0.2,0.26,4.5,0.316,,133.0,0.9597,2.24,1.53,1.1,-1,8,
3886,4890,3,16.4,0.27,1.15,49.7,0.188,61.0,102.0,0.9895200000000001,3.16,0.69,12.3,-1,6,
3887,4891,1,12.0,1.07,1.0,3.4,0.146,74.0,174.0,0.9861700000000001,3.87,1.84,12.1,-1,11,1.0
3888,4892,3,10.5,0.43,0.24,6.7,0.294,227.0,163.0,1.0245600000000001,3.2,0.41,3.9,0,8,2.0
3889,4893,7,3.9,0.225,0.4,4.2,,29.0,68.0,0.9890000000000001,3.57,0.36,9.6,1,5,4.0
3890,4894,6,6.4,0.87,0.28,53.0,0.27699999999999997,,160.0,0.99405,2.26,0.09,21.2,1,7,1.0
3891,4895,0,8.1,0.83,0.38,4.3,,226.0,269.0,0.996,3.37,1.32,16.2,0,9,
3892,4896,3,7.8,0.62,0.84,73.2,0.079,170.0,227.0,0.99735,3.29,0.95,10.3,0,8,3.0
3893,4897,4,4.8,0.3,0.44,51.7,0.043,79.0,34.0,0.9945200000000001,1.94,0.33,18.4,0,9,3.0
3894,4898,5,8.8,0.83,0.49,1.6,0.027000000000000003,35.0,136.0,0.9924799999999999,2.66,0.54,11.0,0,8,1.0
3895,4899,3,7.4,0.3,0.3,5.2,0.053,,163.0,1.0222799999999999,3.12,0.45,8.6,-1,8,1.0
3896,4901,0,8.6,0.36,0.24,43.8,0.9740000000000001,32.0,476.0,0.9903,4.44,0.59,16.3,-1,8,
3897,4902,3,8.2,0.37,0.76,13.9,0.043,277.0,78.0,0.9987299999999999,3.83,0.37,7.8,0,9,3.0
3898,4903,0,5.2,1.59,0.56,1.4,0.281,53.0,487.0,0.9772299999999999,2.82,0.33,12.1,-2,6,
3899,4904,0,8.5,0.27,0.37,7.9,0.11199999999999999,197.0,190.0,0.9954200000000001,3.19,0.99,9.5,1,7,1.0
3900,4905,3,6.5,0.29,0.37,9.15,0.036000000000000004,45.0,166.0,0.99339,4.48,,8.633333333300001,-1,7,2.0
3901,4907,0,7.6,0.3,0.01,55.4,0.085,162.0,24.0,1.03135,3.96,1.28,15.3,0,8,1.0
3902,4908,4,14.1,0.24,0.27,1.4,0.41700000000000004,31.0,122.0,0.9675600000000001,3.15,0.26,10.3,0,8,3.0
3903,4910,5,6.9,0.39,0.3,8.2,0.684,30.0,112.0,1.0137200000000002,1.82,0.37,12.3,1,7,4.0
3904,4911,0,8.3,1.74,0.66,14.9,0.37200000000000005,10.0,41.0,0.92417,2.37,0.64,9.8,0,14,
3905,4912,5,13.5,0.57,0.45,2.0,,6.0,15.0,0.98615,2.63,0.47,9.2,1,12,2.0
3906,4913,0,7.7,0.8,0.07,1.5,0.20199999999999999,4.0,9.0,1.00153,1.99,0.54,9.2,1,8,1.0
3907,4914,3,18.9,0.56,0.92,1.5,0.071,183.0,772.0,0.95778,3.22,,9.8,0,8,
3908,4915,4,6.8,0.8,0.3,42.7,0.043,65.0,95.0,0.9586399999999999,2.79,0.46,7.3,-1,7,3.0
3909,4917,4,7.5,0.14,0.34,31.7,1.0,80.0,153.0,0.9945,3.29,2.52,9.6,0,8,2.0
3910,4919,5,6.0,1.05,1.8,80.1,,45.0,170.0,1.001,4.09,0.1,11.1,1,8,3.0
3911,4920,2,2.1,0.14,0.37,1.2,0.522,227.0,148.0,0.99185,0.85,1.21,16.8,-1,7,1.0
3912,4921,4,7.4,0.22,2.15,,0.057,65.0,395.0,0.94594,2.07,1.25,9.9,-1,8,2.0
3913,4922,7,14.1,1.16,0.32,,0.019,54.0,188.0,0.9935,3.94,0.37,8.5,1,7,2.0
3914,4923,5,14.0,0.71,0.74,38.6,0.62,86.0,287.0,0.9898100000000001,3.22,1.04,13.4,0,7,1.0
3915,4924,0,6.8,1.09,0.26,2.1,0.061,12.0,20.0,0.9725799999999999,3.51,3.14,4.9,0,8,
3916,4925,4,11.1,3.09,0.84,,0.037000000000000005,420.0,140.0,0.95268,3.17,0.29,10.1,-1,7,2.0
3917,4927,5,6.6,1.36,2.57,23.9,0.048,304.0,,0.9920700000000001,4.34,0.73,16.9,1,7,3.0
3918,4929,5,1.0,0.24,1.0,12.3,0.035,,172.0,0.99736,2.99,0.49,,1,8,4.0
3919,4930,5,6.5,0.18,0.34,,0.04,460.0,386.0,0.9912,4.17,2.7,11.5,-1,7,2.0
3920,4931,3,9.3,0.18,1.77,82.15,0.109,53.0,474.0,0.99724,3.25,0.35,8.8,-1,7,
3921,4932,0,9.6,0.56,0.09,1.7,0.053,209.0,32.0,0.9940200000000001,3.54,0.6,13.7,-1,7,
3922,4933,5,4.1,0.26,0.46,1.8,0.037000000000000005,49.0,0.0,0.9960100000000001,2.75,1.77,,2,8,1.0
3923,4934,3,6.7,0.28,0.14,4.5,0.086,14.0,285.0,1.04116,4.64,0.58,11.9,-1,7,1.0
3924,4935,3,6.3,2.52,0.89,,0.193,262.0,603.0,0.9693799999999999,2.86,0.9,10.7,-1,7,1.0
3925,4936,0,13.0,1.79,1.32,15.6,0.5529999999999999,26.0,185.0,1.01146,4.42,0.52,,-1,12,
3926,4937,1,5.6,0.28,0.99,1.0,0.58,6.0,308.0,0.9902,4.51,0.34,11.4,-2,6,1.0
3927,4938,1,7.6,0.32,0.49,69.3,0.062,35.0,141.0,0.9989,3.22,1.86,9.0,-1,8,1.0
3928,4939,4,7.3,0.28,1.07,57.7,0.182,125.0,566.0,0.9768100000000001,3.03,,9.0,0,8,2.0
3929,4940,1,7.9,0.16,0.3,4.8,0.37799999999999995,231.0,171.0,1.0031299999999999,3.47,,4.2,-2,8,
3930,4942,2,0.1,0.7,1.03,18.9,0.028999999999999998,43.0,151.0,0.9518,3.43,0.76,7.8,-1,8,3.0
3931,4943,6,6.8,1.46,0.43,,0.47,30.0,110.0,0.9739,3.08,0.59,14.0,0,8,3.0
3932,4944,2,0.4,1.26,0.49,62.6,0.064,280.0,362.0,0.9958,2.83,0.46,10.1,-1,10,
3933,4945,3,6.6,1.05,0.22,33.35,0.098,205.0,139.0,0.9536,4.79,2.28,13.0,0,7,1.0
3934,4947,3,6.9,0.41,0.93,4.2,0.158,152.0,765.0,0.9706100000000001,3.7,,13.2,1,8,1.0
3935,4948,0,7.3,0.695,0.95,27.6,0.179,,13.0,0.998,3.71,0.52,15.0,-1,8,2.0
3936,4950,5,6.0,0.76,0.38,62.3,0.5529999999999999,194.0,138.0,0.9880200000000001,3.07,0.64,,0,7,4.0
3937,4951,0,9.4,0.59,0.96,,0.08199999999999999,11.0,22.0,0.9925299999999999,3.0,1.03,13.6,0,14,1.0
3938,4952,0,0.7,0.9,0.25,60.0,0.10300000000000001,165.0,451.0,0.9957,3.07,0.15,,-1,6,
3939,4953,3,5.6,1.11,0.43,43.2,0.05,118.0,54.0,1.0215100000000001,3.3,,5.3,0,6,2.0
3940,4954,6,7.1,0.73,2.45,,0.23600000000000002,35.0,115.0,0.98665,2.45,1.88,13.5,1,8,2.0
3941,4955,0,7.3,0.655,0.11,10.2,0.27699999999999997,36.0,131.0,1.01489,3.92,0.92,9.2,-1,8,
3942,4957,5,4.6,1.49,0.22,1.7,,111.0,196.0,0.97134,3.47,0.5,15.4,0,7,2.0
3943,4958,3,5.7,1.44,0.2,16.0,0.397,41.0,113.0,1.00339,3.22,0.46,8.3,-1,6,1.0
3944,4959,4,6.8,0.87,0.86,54.7,0.721,273.0,184.0,0.95181,3.11,,9.5,0,7,2.0
3945,4960,4,13.0,0.99,0.22,1.4,0.021,22.0,178.0,0.9760200000000001,3.15,0.91,12.7,-1,8,2.0
3946,4961,5,3.2,0.185,1.94,1.1,0.614,17.0,117.0,0.8880899999999999,3.55,0.77,8.0,1,6,4.0
3947,4962,1,18.2,1.19,1.58,11.3,0.046,148.0,221.0,1.0067,3.01,0.41,9.2,-2,8,
3948,4963,1,8.7,0.24,0.35,43.2,0.042,11.0,,0.9926,3.08,0.38,10.6,-2,9,2.0
3949,4964,5,8.2,1.0,1.41,45.6,0.12,186.0,37.0,0.93755,2.95,3.91,9.0,1,9,3.0
3950,4965,3,7.1,0.95,0.24,0.8,0.08800000000000001,310.0,86.0,0.9503,2.41,0.71,9.1,1,8,2.0
3951,4967,3,6.1,1.15,0.45,122.8,1.09,205.0,169.0,0.98414,5.16,3.4,8.3,0,7,3.0
3952,4968,7,17.9,1.7,0.29,27.25,,90.0,172.0,1.0165799999999998,5.62,1.98,9.7,2,7,
3953,4970,3,3.9,1.325,1.2,4.5,0.3,333.0,23.0,0.9965,2.38,2.15,16.9,0,8,1.0
3954,4971,6,7.1,0.22,0.33,2.8,0.033,48.0,,0.9899,3.15,0.38,13.7,1,8,4.0
3955,4972,2,11.3,1.75,1.18,15.2,0.08800000000000001,302.0,208.0,0.97435,2.47,0.22,,-1,7,2.0
3956,4974,0,2.4,0.4,0.58,2.2,0.084,283.0,74.0,1.02483,3.25,0.57,11.9,0,9,1.0
3957,4975,0,1.8,0.12,0.32,21.7,0.02,64.0,22.0,0.9845200000000001,4.51,,9.4,0,8,
3958,4976,4,7.8,0.28,0.75,26.4,0.244,11.0,311.0,1.03225,3.14,2.02,9.1,0,9,2.0
3959,4977,4,24.4,0.1,0.97,55.5,0.048,26.0,105.0,0.9940000000000001,3.52,0.66,,0,8,2.0
3960,4979,0,10.7,1.02,0.38,11.6,0.613,45.0,178.0,0.9969100000000001,3.33,0.43,7.7,0,7,
3961,4980,4,15.9,0.28,0.14,8.6,0.162,20.0,142.0,1.04598,3.28,0.44,9.7,0,6,1.0
3962,4981,4,2.2,0.27,0.29,81.9,0.276,67.0,429.0,0.9969899999999999,2.26,0.12,9.8,1,8,3.0
3963,4983,4,16.9,1.87,0.27,40.3,0.08,105.0,922.0,0.9965200000000001,3.29,0.48,4.6,2,9,1.0
3964,4984,0,0.7,0.315,0.79,2.6,0.092,12.0,28.0,0.9661700000000001,3.51,0.29,11.8,1,9,
3965,4986,2,7.5,0.2,0.41,49.2,0.05,26.0,24.0,0.9964299999999999,3.19,2.25,12.4,-1,8,1.0
3966,4987,3,14.6,0.48,0.81,8.9,,156.0,,0.99556,3.17,1.58,11.2,-1,8,2.0
3967,4988,6,17.2,0.1,0.88,1.0,0.36,61.0,134.0,1.0200200000000001,3.19,0.81,11.9,1,7,3.0
3968,4989,3,7.1,0.23,0.23,3.5,0.038,116.0,16.0,0.9915700000000001,3.05,,11.366666667,-1,8,2.0
3969,4990,1,5.8,0.33,0.74,16.05,0.047,275.0,166.0,0.9976,2.93,0.46,3.1,-2,6,
3970,4992,6,11.1,0.28,0.78,,0.214,32.0,116.0,0.90204,,0.16,9.4,2,7,3.0
